,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2022",top_250_2022,top_500_2022,dup_2022
1,SHELL PLC,4366849,"319,135,000",TRUE,TRUE,FALSE
2,GLENCORE PLC,JE107710,"212,259,000",TRUE,TRUE,FALSE
3,BP P.L.C.,102498,"205,670,000",TRUE,TRUE,FALSE
4,TESCO PLC,445790,"61,344,000",TRUE,TRUE,FALSE
5,GLENCORE ENERGY UK LTD.,4542769,"60,920,824",TRUE,TRUE,FALSE
6,UNILEVER PLC,41424,"53,195,000",TRUE,TRUE,FALSE
7,RIO TINTO PLC,719885,"45,907,000",TRUE,TRUE,FALSE
8,UNIPEC U.K. CO. LIMITED,3138679,"45,152,019",TRUE,TRUE,FALSE
9,TESCO STORES LIMITED,519500,"44,793,000",TRUE,TRUE,FALSE
10,HSBC HOLDINGS PLC,617987,"39,776,000",TRUE,TRUE,FALSE
11,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"38,451,000",TRUE,TRUE,FALSE
12,ASTRAZENECA PLC,2723534,"36,649,000",TRUE,TRUE,FALSE
13,IMPERIAL BRANDS PLC,3236483,"32,551,000",TRUE,TRUE,FALSE
14,J SAINSBURY PLC,185647,"29,895,000",TRUE,TRUE,FALSE
15,GSK PLC,3888792,"29,324,000",TRUE,TRUE,FALSE
16,ANGLO AMERICAN PLC,3564138,"29,020,000",TRUE,TRUE,FALSE
17,S&P GLOBAL INTERNATIONAL HOLDINGS LIMITED,13651574,"36,163,405",TRUE,TRUE,FALSE
18,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"27,655,000",TRUE,TRUE,FALSE
19,COMPASS GROUP PLC,4083914,"25,512,000",TRUE,TRUE,FALSE
20,EG GROUP LIMITED,9826582,"25,299,343",TRUE,TRUE,TRUE
21,EG GROUP HOLDINGS LIMITED,10440046,"25,299,343",TRUE,TRUE,TRUE
22,SAINSBURY'S SUPERMARKETS LTD,3261722,"25,238,000",TRUE,TRUE,FALSE
23,BARCLAYS PLC,48839,"24,956,000",TRUE,TRUE,FALSE
